Вид задължение;Погасена сума;Вид задължение;Вид документ;"Документ №""";Дата;Период (от - до);Срок за плащане
27.3.2018;25000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
28.3.2018;10000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
29.3.2018;15000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
30.3.2018;500;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
30.3.2018;14867.06;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
30.3.2018;15000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
2.4.2018;9299;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;01.02.2018 - 28.02.2018;14.3.2018
 ;701;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;20.3.2018;01.02.2018 - 28.02.2018;26.3.2018
3.4.2018;94.96;корпоративен данък от нефинансови предприятия - вземане по декларация;Годишна данъчна декларация по чл. 92, ал. 1 от ЗКПО;2225И0078946;30.3.2018;01.01.2017 - 31.12.2017;2.4.2018
 ;6131.17;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;20.3.2018;01.02.2018 - 28.02.2018;26.3.2018
4.4.2018;10000;корпоративен данък от нефинансови предприятия - вземане по декларация;Годишна данъчна декларация по чл. 92, ал. 1 от ЗКПО;2225И0078946;30.3.2018;01.01.2017 - 31.12.2017;2.4.2018
;24.39;корпоративен данък от нефинансови предприятия - начисляване на лихва за просрочие;Годишна данъчна декларация по чл. 92, ал. 1 от ЗКПО;2225И0078946;30.3.2018;03.04.2018 - 04.04.2018;2.4.2018
 ;33857.4;корпоративен данък от нефинансови предприятия - вземане по декларация;Годишна данъчна декларация по чл. 92, ал. 1 от ЗКПО;2225И0078946;30.3.2018;01.01.2017 - 31.12.2017;2.4.2018
;442.41;данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;Mесечна справка-декларация по ЗДДС;22251173292;14.3.2018;15.03.2018 - 02.04.2018;14.3.2018
 ;10.81;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251175996;16.4.2018;01.03.2018 - 31.03.2018;16.4.2018
;14.99;Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;Декларация - образец 6;2.23E+16;20.3.2018;27.03.2018 - 03.04.2018;26.3.2018
17.4.2018;43368.49;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251175996;16.4.2018;01.03.2018 - 31.03.2018;16.4.2018
;12.05;данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;Mесечна справка-декларация по ЗДДС;22251175996;16.4.2018;17.04.2018 - 17.04.2018;16.4.2018
 ;2874.76;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.4.2018;01.03.2018 - 31.03.2018;25.4.2018
24.4.2018;109.08;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251178629;14.5.2018;01.04.2018 - 30.04.2018;14.5.2018
 ;3910.92;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.4.2018;01.03.2018 - 31.03.2018;25.4.2018
15.5.2018;22812.7;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251178629;14.5.2018;01.04.2018 - 30.04.2018;14.5.2018
;6.34;данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;Mесечна справка-декларация по ЗДДС;22251178629;14.5.2018;15.05.2018 - 15.05.2018;14.5.2018
 ;102.74;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.5.2018;01.04.2018 - 30.04.2018;25.5.2018
22.5.2018;1895.99;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251180879;14.6.2018;01.05.2018 - 31.05.2018;14.6.2018
22.5.2018;92.94;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251180879;14.6.2018;01.05.2018 - 31.05.2018;14.6.2018
 ;7337.06;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.5.2018;01.04.2018 - 30.04.2018;25.5.2018
13.6.2018;94627.53;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251180879;14.6.2018;01.05.2018 - 31.05.2018;14.6.2018
 ;2011.47;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;20.6.2018;01.05.2018 - 31.05.2018;25.6.2018
20.6.2018;5437.9;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;20.6.2018;01.05.2018 - 31.05.2018;25.6.2018
18.7.2018;106515.69;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251183908;16.7.2018;01.06.2018 - 30.06.2018;16.7.2018
;59.18;данък върху добавената стойност при сделки в страната - начисляване на лихва за просрочие;Mесечна справка-декларация по ЗДДС;22251183908;16.7.2018;17.07.2018 - 18.07.2018;16.7.2018
 ;60.82;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.7.2018;01.06.2018 - 30.06.2018;25.7.2018
25.7.2018;6544.8;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251186362;14.8.2018;01.07.2018 - 31.07.2018;14.8.2018
25.7.2018;60.82;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251186362;14.8.2018;01.07.2018 - 31.07.2018;14.8.2018
 ;8105.71;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.7.2018;01.06.2018 - 30.06.2018;25.7.2018
13.8.2018;50000;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251186362;14.8.2018;01.07.2018 - 31.07.2018;14.8.2018
14.8.2018;28334.17;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251186362;14.8.2018;01.07.2018 - 31.07.2018;14.8.2018
 ;69.69;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;24.8.2018;01.07.2018 - 31.07.2018;27.8.2018
23.8.2018;69.69;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251189033;14.9.2018;01.08.2018 - 31.08.2018;14.9.2018
 ;7821.7;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;24.8.2018;01.07.2018 - 31.07.2018;27.8.2018
14.9.2018;35750.14;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251189033;14.9.2018;01.08.2018 - 31.08.2018;14.9.2018
 ;110.55;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.9.2018;01.08.2018 - 31.08.2018;25.9.2018
26.9.2018;1871.02;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251191505;15.10.2018;01.09.2018 - 30.09.2018;15.10.2018
 ;7695.05;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.9.2018;01.08.2018 - 31.08.2018;25.9.2018
;2.14;Данък върху доходите от трудови и прир. на тях правоотношения - начисляване на лихви за просрочие;Декларация - образец 6;2.23E+16;25.9.2018;26.09.2018 - 26.09.2018;25.9.2018
10.10.2018;73104.1;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251191505;15.10.2018;01.09.2018 - 30.09.2018;15.10.2018
 ;1891.05;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.10.2018;01.09.2018 - 30.09.2018;25.10.2018
23.10.2018;1891.05;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251194061;14.11.2018;01.10.2018 - 31.10.2018;14.11.2018
 ;6172.6;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;25.10.2018;01.09.2018 - 30.09.2018;25.10.2018
15.11.2018;97377.08;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251194061;14.11.2018;01.10.2018 - 31.10.2018;14.11.2018
 ;1753.79;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;26.11.2018;01.10.2018 - 31.10.2018;26.11.2018
27.11.2018;1723.79;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251196681;14.12.2018;01.11.2018 - 30.11.2018;14.12.2018
 ;6384.19;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;26.11.2018;01.10.2018 - 31.10.2018;26.11.2018
12.12.2018;58223.97;данък върху добавената стойност при сделки в страната - вземане по справка декларация   ;Mесечна справка-декларация по ЗДДС;22251196681;14.12.2018;01.11.2018 - 30.11.2018;14.12.2018
гдд2017;43952.36;;;;;;
 ;1736.93;корпоративен данък от нефинансови предприятия - вземане от авансови вноски;Декларация по чл. 88 от ЗКПО и по чл. 87а, ал. 2 и 3 от ЗКПО;2.20E+13;17.12.2018;01.12.2018 - 31.12.2018;17.12.2018
17.12.2018;40263.07;корпоративен данък от нефинансови предприятия - вземане от авансови вноски;Декларация по чл. 88 от ЗКПО и по чл. 87а, ал. 2 и 3 от ЗКПО;2.20E+13;17.12.2018;01.12.2018 - 31.12.2018;17.12.2018
 ;1736.93;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;27.12.2018;01.11.2018 - 30.11.2018;27.12.2018
20.12.2018;6233.9;Данък върху доходите от трудови и прир. на тях правоотношения - вземане по декларация чл.49, ал.5 от ЗДДФЛ;Декларация - образец 6;2.23E+16;27.12.2018;01.11.2018 - 30.11.2018;27.12.2018
;;;;;;;
;85 952.36;;;;;;
анансов 2018;42 000.00;;;;;;
;;;;;;;
;;;;;;;
корпоративен данък;;;;;;;
данъци - начисляване на лихва за просрочие;1649.87;;;;;;
лихви по ДОО;56.12;лихви по ДОО;;;;;
лихви по ДЗПО;16.71;лихви по ДЗПО;;;;;
лихви по ЗОВ;34.05;лихви по ЗОВ;;;;;
;;;;;;;
Платени  лихви за просрочие през 2018 година;1756.75;;;;;;
в това число от салдо 01.01.2018;832.04;в това число от салдо 01.01.2018;;;;;
авансов данък 2017 платен;278.13;авансов данък 2017 платен;;;;;
;1110.17;;;;;;
;;;;;;;
Лихви за начисляване за  2018 година;646.58;;;;;;
